,TweetID,TweetContent,TweeterUsername,TweetDatetime
0,974434881622237184,Nothing contradicts my aesthetic quite like vaping in my mom's minivan,recklyssabandon,2018-03-15 23:59:14+00:00
1,974434848671662081,"JUST IN! The Valyrian by Uwell has arrived boasting high quality design, 5 mL e-Liquid capacity, three coil pins to customize your vape experience and click-and-flip top fill. This sub-ohm tank is sure to please. (High wattage 95-200W)
#LifestyleVapor #Uwell #Valyrian #subohm https://t.co/KXXpE985wJ",LifestyleVapor,2018-03-15 23:59:06+00:00
2,974434802928627712,"Firefighters, Cop Vape, Ahoy Chips https://t.co/Bdq9adc0Pb",tommchenry,2018-03-15 23:58:55+00:00
3,974434548388900864,"#vape #vapelife #cloudsession_ @ Plainfield, New Jersey https://t.co/pu7DoJ36GF",weaselbenoit,2018-03-15 23:57:55+00:00
4,974434535403393024,My vape broke,TempoBot,2018-03-15 23:57:52+00:00
5,974434522413461505,Find out tomorrow if I get the job at the vape shop! Feeling pretty confident! 😙💨,thatsavvychic,2018-03-15 23:57:48+00:00
6,974434256985427970,“Put an End to Smoking with E-Cigs and Vaping:” https://t.co/7KYEETNpN4 #weightloss #QuitSMOKING #Health #Cancer https://t.co/HhlbUYE9E2,value3124,2018-03-15 23:56:45+00:00
7,974434105910792193,Juul e-cigarettes and teens: 'Health problem of the decade'? https://t.co/6xbCsq3LbG,Marley__Monroe,2018-03-15 23:56:09+00:00
8,974434038927773696,My mom thinks I’m a drug addict bc I vape.,ElizabethH070,2018-03-15 23:55:53+00:00
9,974433968996175873,"Smok Stick Prince Kit - Back in Stock ! 

Just £31.99 at Vazon Vapes !

#smok #smokprince… https://t.co/LPjSsFgSJM",VazonVapes,2018-03-15 23:55:36+00:00
10,974433890109657089,"""When you Quit Smoking and turn to Vaping your Health Improves Greatly:"" https://t.co/n6qmsoU8Ef #weightloss #QuitSMOKING #Health #Cancer https://t.co/NouVWa4l31",value3124,2018-03-15 23:55:18+00:00
11,974433874624335872,"i’ve managed to lose my juul 3 times today, i’ve had 7 mental breakdowns &amp; now my car won’t start GO ME",madisonkramer20,2018-03-15 23:55:14+00:00
12,974433847902396418,Health Buzz: Kids Are Trying JUUL E-Cigarettes – and Experts Are Concerned https://t.co/zMS3fx0SpJ,ohm_god,2018-03-15 23:55:08+00:00
13,974433845910138880,Thursday night: Darien Depot offers vape talk https://t.co/5odX9ZSslO,ohm_god,2018-03-15 23:55:07+00:00
14,974433773260541954,"#cloudchasing #vape #vapelife @ Plainfield, New Jersey https://t.co/daqsQNW3sS",weaselbenoit,2018-03-15 23:54:50+00:00
15,974433525289160709,I saw this ambulance driver hitting the vape and at that moment i knew that if I was dying I cant trust an ambulance to save my life,BigCox1234,2018-03-15 23:53:51+00:00
16,974433392963047424,Fuck you whoever took my vape charger cable from trickstar. Hope you hurt yourself really badly,Taiki_Nulight,2018-03-15 23:53:19+00:00
17,974433290202615808,"🙏2018 Saint Patrick Vaping Festival Giveaway, 👌Thanks to Vapesourcing!!! 👉https://t.co/mBQ31pORrx",VaporPhrog,2018-03-15 23:52:55+00:00
18,974433271869333504,Health Buzz: Kids Are Trying JUUL E-Cigarettes – and Experts Are Concerned https://t.co/k704rX8aGe,iBoldNews,2018-03-15 23:52:50+00:00
19,974433163245219842,"🙏2018 Saint Patrick Vaping Festival Giveaway, 👌Thanks to Vapesourcing!!! 👉https://t.co/wU6ApWQkho",ScherrCropper,2018-03-15 23:52:24+00:00
20,974433156853043200,I liked a @YouTube video https://t.co/VwjCwTQLWc Colored Vapor?! A Vape Tricker's Dream! The Sense Arrow Kit! Vape Tricks!,Xxgta5onlinexX1,2018-03-15 23:52:23+00:00
21,974433019447582721,Is #vaping bad for you or addictive? https://t.co/VeXvZ8U2F0 #vape https://t.co/QYa2Y0ZUaq,CigVapes,2018-03-15 23:51:50+00:00
22,974432891785678848,Everyone with autobot or decepticon decals on their car vapes,noimjory,2018-03-15 23:51:20+00:00
23,974432882809819136,Giving up vaping was the best decision I have made for myself. Nicotine free. Finally feel on the road to no more smoking 👏😊 #proudofme,AbbieCB_,2018-03-15 23:51:18+00:00
24,974432742422339585,"The UK Vape Show Episode 198 ► Burning Bridges Lost Forevermore - with Purple Lady Vaper
Welcome to the UK Vape... https://t.co/jqan9Ig1Xq",VapeUKNetwork,2018-03-15 23:50:44+00:00
25,974432692233220102,Vaping and Your Teen: What Parents Need to Know | Silver Hill Hospital https://t.co/759QSvxBty,TerryDiony,2018-03-15 23:50:32+00:00
26,974432664387227650,I really like my new vape pen 💯,StarlessEyesWay,2018-03-15 23:50:25+00:00
27,974432408723509249,Juuls kill th atmosphere!,nobals1,2018-03-15 23:49:24+00:00
28,974432347037880320,Poker &amp; Vapes. #mipod #katytx #katysupplyvapes #vape #poker #vegas #winner #vaper #vapetricks… https://t.co/4i6bMFefP1,davidhamilton70,2018-03-15 23:49:10+00:00
29,974432333825826817,Just changed out the coil in my vape &amp; feel like I just finished brain surgery. Jesus.,usasmitty,2018-03-15 23:49:07+00:00
30,974432331476951041,"Sigelei VCIGO MOON 200W with the Moon shot RDTA.
#MountainVaporz #camelback #vapeshop #vape… https://t.co/2cj3OcKIRL",MountainVaporz,2018-03-15 23:49:06+00:00
31,974432278016389120,if you’ve never smoked a cig in your life and you juul just for fun i’m judging you for being a dumbass lmaooo https://t.co/G7cRwGcZVr,littlebutler1,2018-03-15 23:48:53+00:00
32,974432257992724482,“Asthmatics turn to Vaping to start Breathing Again:” https://t.co/Si2wmmRsvo #QuitSMOKING #health #weightloss #Cancer https://t.co/CtG2uksbjX,value3124,2018-03-15 23:48:49+00:00
33,974432111720513536,wheres the vape that makes my wet clothes not mildew?,Gremlins2Movie,2018-03-15 23:48:14+00:00
34,974432001087303680,Read about the industry that's worth more than $30m to #SouthAustralia https://t.co/m440gs8pOz #ballpr #vape,Lovedupcloset,2018-03-15 23:47:47+00:00
35,974431929121562625,"Mi Vape Co. by Vaping for Vapers, by Vapers is #NowPlaying on https://t.co/IBx3JZxB9Y https://t.co/5gjdjLFtcC",CCS_Radio,2018-03-15 23:47:30+00:00
36,974431874218184704,Want to make cool smoke tricks but can’t afford a vape? Just put a spoonful of confectioner’s sugar in your mouth and it’ll come out in puffs of smoke when you inevitably choke on it.,hazyweevil,2018-03-15 23:47:17+00:00
37,974431857768042497,"I love my friends 
I love my juul",nolongercowgirl,2018-03-15 23:47:13+00:00
38,974431842962096128,"Save 20% on Verdict Vapors!
https://t.co/ftlbMVZaFJ
#vape #vapefam #VapeOn",A_Vape_Discount,2018-03-15 23:47:10+00:00
39,974431823873953792,"Coilology 7-in-1 kits are RESTOCKED!  https://t.co/UFhygO8KaR     

#Vape | #Vapeon | #VapePorn | #Vapenation | #WorldWideVape | #IMPROOF | #Vapeaddicts | #Vapehooligans | #vapedeal | #vapingcheap| #vapesale | #cloudchaser | #cloudchasing https://t.co/OZUrft6vDX",Myvpro_Official,2018-03-15 23:47:05+00:00
40,974431688154632198,"PLEASE, IF YOU ARE A VAPER, WATCH THIS SHORT VIDEO AND TAKE ACTION!! https://t.co/22JuAU3YO7 
@samholt_76 @catofthesea2 @markfabela1 @axelbeam @ChristyMireles_ @vapingkaren @snowedin @ShaynaThompso13 @beanpower_vapes @mstephens156 @LonneyChristoff @grogers70426 @vapen_moma",philbh77,2018-03-15 23:46:33+00:00
41,974431599348604928,“I’m exhausted! We spent four hours in a vape shop.” @matt_petrovitch 😂,JessicaBlowers,2018-03-15 23:46:12+00:00
42,974431529056260096,"ITCVapes Custard #3 eJuice Review
#ITCVapes #cloudchasing #vapeclouds #cloudsofvapor #vapers #proudtobeavaper #vaping #proudtobevaping #betteralternative #notblowingsmoke #myvapeworld #vapepassion #vapor #eliquids #ejuices #vapejuices #ejuiceflavors

https://t.co/pvvrooN2KB",itcvapes,2018-03-15 23:45:55+00:00
