,TweetID,TweetContent,TweeterUsername,TweetDatetime
0,857746137272418306,You're very welcome! Hope you enjoy it! #vape #vapelife #vapefam #vapecommunity #ecigs #vapor https://t.co/t5HBoDYK8W,vapegears,2017-04-27 23:59:49+00:00
1,857746077046460416,almost just got hit because the driver of the other car was VAPING #vapingkills,carolineghebert,2017-04-27 23:59:35+00:00
2,857746045924548609,"I like how in ""vape in my ass"" gc everyone hypes eachother up so much lmao",buddalized,2017-04-27 23:59:28+00:00
3,857745865733279745,at least now we know why heath's suddenly a vape god lmao,darknessdeparts,2017-04-27 23:58:45+00:00
4,857745838361235456,"Been drinking henny, ate a edible, and pulling the vape, lol. I don't care about my lively hood clearly",Tone_b0ne,2017-04-27 23:58:38+00:00
5,857745726138396672,"Hit Parade! Give me this, no Goodell, the vape pen, and loud speakers and I'm in dreamland. https://t.co/ntWM5aYmzZ",bennymacyo,2017-04-27 23:58:11+00:00
6,857745636699119616,"Pilot: ""smoking and vaping are not allowed on this flight"" #unitedproblems",djdesser,2017-04-27 23:57:50+00:00
7,857745552477483008,"Get your Fidgets here!!!!! $8

#fisgetspinners#fidget#bearings#stressreliever#909vapeshops#vapelyfe##vaper#vape#va… https://t.co/f2wvXOqs01 https://t.co/faqKgUT2Dk",VapeDemand,2017-04-27 23:57:30+00:00
8,857745537440686080,Rep. Hunter proposes a bill that exempts e-cigs from FDA’s deeming rule https://t.co/6HOe3JYMYW via @vaping_post,HeneageM,2017-04-27 23:57:26+00:00
9,857745372512268288,Rep. Hunter proposes a bill that exempts e-cigs from FDA’s deeming rule https://t.co/POxmVZosim via @vaping_post,thevapers_org,2017-04-27 23:56:47+00:00
10,857745118488657920,What flavors are you vaping on this week? #veppo #eliquid #flavors #smokeless,veppocig,2017-04-27 23:55:47+00:00
11,857744272807915522,We always have what you're looking for. Spectrum now available at our shops...😎👍👊#vape #vaping… https://t.co/iF6nlEarre,BlueMonkeyVapes,2017-04-27 23:52:25+00:00
12,857744056868380672,Going live soon https://t.co/d5hKdXcXEh come help a fellow Vapes/gamer trying to get my twitch affiliate come help me out,v4pingg4mer1,2017-04-27 23:51:33+00:00
