,TweetID,TweetContent,TweeterUsername,TweetDatetime
0,1478153593681330178,Sometimes my vapes light will fade rlly slow after I hit and then I’ll think it’s blinking when it’s not,Math_4_Life___,2022-01-03 23:57:34+00:00
1,1478153171952279554,Vape cartridge clogged? Learn how to fix: https://t.co/cyHNmFIjFI  #CBD #Delta8 #THC #CBDedibles #Vape,5OShadeOfGreen,2022-01-03 23:55:53+00:00
2,1478152964627996673,dropped some vape juice on my pants and it made a smiley face : ) https://t.co/GGpmDInfzO,noneshallpath,2022-01-03 23:55:04+00:00
3,1478152927047032832,"new year, new vape💨",_avoidarlan,2022-01-03 23:54:55+00:00
4,1478152912568078337,I took a selfie and subconsciously made bearface while hitting the vape like :/ I am what I eat,surrealthom,2022-01-03 23:54:51+00:00
5,1478152801494528002,"#Smokers With No Plans To Quit Are Much More Likely To Stop #Smoking If They #Vape Instead.
The findings reinforce the case for #nicotine #vaping products as a harm-reducing alternative to #cigarettes.
https://t.co/kCYHCdmxyR",Zayphar,2022-01-03 23:54:25+00:00
6,1478152185221419015,My vape died and I don’t get paid till Friday… pray for me,ce_lez,2022-01-03 23:51:58+00:00
7,1478152020527771648,"Not sure which way some #vaping advocates will hoist this report of ""stuttering"" (intermittent) priapism in a vaper: problem or solution to problem? https://t.co/GF4tvY2bCR https://t.co/E4A66DHCKO",SimonChapman6,2022-01-03 23:51:19+00:00
8,1478151904416833538,I’m addicted to vaping bro 🥴,bloodymermaidz,2022-01-03 23:50:51+00:00
9,1478151858946510855,A week into quitting smoking I feel like I’m in in the worst health of my goddanm life sober propaganda is fucking bullshit someone buy me a vape,lethal_monoxide,2022-01-03 23:50:40+00:00
10,1478151389058588677,Vaping CBD Versus Other Methods of Taking CBD Oil https://t.co/4qZRCSEDPx #CBD #Cannabidiol,MarihuanaSamen,2022-01-03 23:48:48+00:00
11,1478151242643873795,my vape died,itzasher420,2022-01-03 23:48:13+00:00
12,1478151143125565440,all this coffee and vaping is making me release something that would probably melt the haul of the death star,TTOURTV,2022-01-03 23:47:49+00:00
13,1478150846647001090,"just watched my girlfriend double fist her bowl and my blueberry lemonade vape and inhale at the same time.
Throwing up rn",h8ithere21,2022-01-03 23:46:39+00:00
14,1478150676433838082,Loving my little delta-8 vape,meresylv,2022-01-03 23:45:58+00:00
15,1478150459605102592,i need a pet lion. I know it’s unethical and wrong but y’all be vaping so I don’t care what y’all think,eyeheartderaa,2022-01-03 23:45:06+00:00
16,1478150403418120192,SOLUTION: VAPE THC OIL! https://t.co/v5ZpVzpR7m,MANFORALLSEAS,2022-01-03 23:44:53+00:00
17,1478150392068386820,Me n the boys rolling up with a big chocolate eclair to gain satan’s favor after we all perish from hitting an off-brand covid vaccine vape cartridge https://t.co/7GuhVIAEHW,DBLHCKYSTCKS,2022-01-03 23:44:50+00:00
18,1478150186958528512,"walking out of the house like 
edibles ✅ 
airpods ✅
vape ✅ 
Ok let’s roll",angelbabylola,2022-01-03 23:44:01+00:00
19,1478150100899844105,"so far out of the disposable vapes I’ve tried, Crave makes the best ones hands down. I’m approaching week 4 of no cigs!",snarlingdm,2022-01-03 23:43:41+00:00
20,1478149794245877763,them nicotine vapes got y’all on a chokehold,lulkarla,2022-01-03 23:42:28+00:00
21,1478149666688618499,Carry me to champ and I’ll give you any vape for 99% off https://t.co/EUlilYVby3,BepoeR6,2022-01-03 23:41:57+00:00
22,1478149612661784582,Removed from the New Years wizard council meeting for wearing novelty glasses shaped like the number 69 and casting neon light spells on my vape clouds,transpontiff,2022-01-03 23:41:45+00:00
23,1478149527240679427,"Yea so, as I said I got caught with my vape, in the bathroom, then once the teacher said “stay here while I get the principle” I sprinted and hid in the janitors closet , mind you, this was 3rd period, I stayed in the closet for 1 period (32 minutes) until…",halolouis91,2022-01-03 23:41:24+00:00
24,1478149322856300544,Best Disposable Vape Award goes to Ignite’s Icy Mint 😮‍💨😮‍💨,britt_alexisx,2022-01-03 23:40:35+00:00
