,TweetID,TweetContent,TweeterUsername,TweetDatetime
0,1480690452676452355,Day 4 no vape. Craving it a little today so i decided to color. Heres what i ended up with https://t.co/4Pf1BEJRts,Spidey_Mama,2022-01-10 23:58:08+00:00
1,1480690101684424714,Not my nephews getting caught vaping,John_is_da_bomb,2022-01-10 23:56:44+00:00
2,1480689944418947075,Did the ((VapeBan for mailing vape products affect you? ))mailBan  #CBD #Delta8 #THC #Vape #VapeNews,5OShadeOfGreen,2022-01-10 23:56:07+00:00
3,1480689849849901058,I have a terrible headache and the battery is dead in my vape pen. Sigh.,disableddragonS,2022-01-10 23:55:44+00:00
4,1480689763413753857,I miss the days when I wasn't clinically insane,i_lost_my_juul,2022-01-10 23:55:24+00:00
5,1480689708707450880,THE YT TIKTOK GIRLIES MAD BC THEY TOOK OUT THE AAVE ABUSING VAPE GIRL 😭😭😭😭,theedevilbox,2022-01-10 23:55:11+00:00
6,1480689467304431616,"I just tried to clap on/clap off the touchless faucet, in case you weren’t sure my vape was hitting",crazychiplady,2022-01-10 23:54:13+00:00
7,1480689398043840526,GOT MY VAPE SLAYY,sunaswag,2022-01-10 23:53:57+00:00
8,1480689257421414403,Is anyone else going to get high tonight?  I expect to be vaping soon.,FluffyAnnabelle,2022-01-10 23:53:23+00:00
9,1480689165608050688,"No longer in stock at OCS: 

Pūr Cloud CBD Vape 510 Thread Cartridge by Blissco

https://t.co/O3WGBxJqn3",OcsUpdater,2022-01-10 23:53:01+00:00
10,1480689140844969986,I got my MIL a vape pen and some delta-8 carts for Xmas. She's been sending me texts saying how much she loves it! I've turned her into a pothead and I'm not sorry 😎,BrujaDee,2022-01-10 23:52:55+00:00
11,1480689000700592129,"I love witness but Im sorry it is like still the dumbest album of all time.
""Your words are like chinese water torture""
""A babydoll with a briefcase""",juul_survivor,2022-01-10 23:52:22+00:00
12,1480688984670023680,"Imagine a news stand today...with hot coffee,vape and wifi ball games. 
What we're missing, right? https://t.co/J2fc95hFnb",Drtydzlz,2022-01-10 23:52:18+00:00
13,1480688875035058176,"The only company producing oxygen went out of business and the few functioning hospitals are overwhelmed with referrals. Civilians continue to suffer and dies, while supplies are blocked by Ethiopia. #AllowAccessToTigray @POTUS @SecBlinken @mona_juul @PowerUSAID @WFPChief @UNICEF https://t.co/RkfMr6vnv0",berhejerusalem1,2022-01-10 23:51:52+00:00
14,1480688698228297728,"i think we should bring back the war on drugs from the 70s and 80s. i mean come on, america. we have kids doin drugs all around us right under our noses. these juuls, vape devices, percs, weed. all of it. its ruining the kids that are supposed to be miracles.",dababydabot,2022-01-10 23:51:10+00:00
15,1480688567793995778,"Penthouse is the Flavor of the Week: It's a delicious mix of pomegranate and blueberries with a touch of hibiscus. It's 50% off all week at the shops!
————⠀⠀⠀
✌️❤️😤⠀⠀⠀
————
#vape #ecig #ecigarettes
#ejuice #eliquid #vapeshop ⠀ https://t.co/zL26AHR1Gg",blackhatcigs,2022-01-10 23:50:39+00:00
16,1480688554711953408,I vape for breakfast so I have no fear of covid bc long term vape effects will probably get me first which is really embarrassing tbh https://t.co/cU91Lr2mMF,g2orgina,2022-01-10 23:50:35+00:00
17,1480688004352073728,biden could prolly get a huge approval boost if he brought back mango juul pods,premium_______,2022-01-10 23:48:24+00:00
18,1480687776228167690,when you rip the juul to hard you fart and shit yourself in the car during your lunch break,10292oo2,2022-01-10 23:47:30+00:00
19,1480687725514670082,"First eye health harms today and now this:
""Secondhand nicotine vaping linked to heightened risk of bronchitic symptoms.""
They conclude: ""While association is not causation,... More work needs to be done to prove that this exposure directly causes harm.""
https://t.co/ub6AaRyY7P",LanceChurchill,2022-01-10 23:47:18+00:00
20,1480687690169335810,Best Dry Herb Vaporizer For Asthma https://t.co/EBOLFAFxf7,revival_vape,2022-01-10 23:47:09+00:00
21,1480687419280220160,IM THROWING MY VAPE AWAY I CANNOT ANYMORE,gnarlythomas,2022-01-10 23:46:05+00:00
22,1480687245438984197,still a vape god,drballsackphd,2022-01-10 23:45:23+00:00
23,1480686808312786950,"Man convicted for possessing 77,000 THC vaping cartridges https://t.co/R2Z1favEdh https://t.co/O6iYv0wxsg",Tyler__TS,2022-01-10 23:43:39+00:00
24,1480686652632678401,normalize bullying people who wear gym shorts and a T-Shirt in fucking 40 degree weather,i_lost_my_juul,2022-01-10 23:43:02+00:00
25,1480686596475297799,Rip my vape almost killed me rn💀💀,Jairojaimes361,2022-01-10 23:42:49+00:00
26,1480686549515882498,“vapes are horrible for you” I say as I light a cigarette,Bran_Muff1n,2022-01-10 23:42:37+00:00
27,1480686120715395083,It's been 10 days since I vaped... I wanted to take a two week break I don't know today is really bleak like really really bleak,rebrandedslut,2022-01-10 23:40:55+00:00
28,1480685735166492672,Yes I’m hitting the vape,lilteddy999_X,2022-01-10 23:39:23+00:00
29,1480685611958915084,not me having chest pains everytime i cough yet still hittin this vape bc nicotine,curlyyyqt,2022-01-10 23:38:54+00:00
30,1480685437287026695,"Pure Sunfarms Expands #Cannabis 2.0 Offering with the Launch of a High THC Vape, Delivering a Spotlight on THC https://t.co/AAEVu0kkHz #culture #feeds",PuffinStyle420,2022-01-10 23:38:12+00:00
31,1480685279615021057,candice and jasmine want to go on a double vape date with me and flint and i'm scared,volkner_ebooks,2022-01-10 23:37:35+00:00
32,1480685251412127744,"Anecdotally, my hubby worked with a few guys who regularly vaped and those are the ones who never got the c v d 🤷‍♀️ https://t.co/S0ShmSCUz9",JeanofAZ,2022-01-10 23:37:28+00:00
33,1480685162497118210,"Man convicted for possessing 77,000 THC vaping cartridges https://t.co/ng5ajhdwk4",Star_Foreign,2022-01-10 23:37:07+00:00
34,1480685012592828420,"Watch: The War on Vaping Closes a Shop in East Harlem https://t.co/6hKrPXAs9i Another travesty, Spike is an amazing person.",Vaporadvocate,2022-01-10 23:36:31+00:00
35,1480684950106038274,tfw you want a WRX but you don't wanna vape.,TripDiam,2022-01-10 23:36:16+00:00
36,1480684856841576453,One of my goals for this year is to stop smoking vapes,boogs1989,2022-01-10 23:35:54+00:00
37,1480684784976375809,Oh my god please don’t vape on the subway,e_munson,2022-01-10 23:35:37+00:00
38,1480684618344906752,want nicotine 😣 have vape in my nightstand too told myself i was gon stop tho smh,sillyhahateehee,2022-01-10 23:34:57+00:00
39,1480684451361439745,"77,000, from just one supplier of THC and EVA black market Carts, that’s 20 Gallons, yet people wonder how so many were effected, there are 5-6 of them around the country who pleaded Guilty or are under indictment or found guilty. Vaping THC to get High or Die. https://t.co/S7ItNZUxDM",LittleW99300122,2022-01-10 23:34:17+00:00
40,1480684442578472964,idek if deftones are a band or whatever but their music holy shit better than those  grape vapes,_qkitty,2022-01-10 23:34:15+00:00
41,1480684427210641408,Before Covid y’all was really letting barbers blow vape smoke over your hair for Instagram videos. 🌽 🎾,wardy_san,2022-01-10 23:34:11+00:00
42,1480684407912599554,i love vaping until i’m stupid,griffraff97,2022-01-10 23:34:07+00:00
43,1480684175145713668,[landwolf vapes],boysclubbot,2022-01-10 23:33:11+00:00
44,1480684075811758081,My vape dying is the worst thing to happen to me in 2022,lowkeylalita,2022-01-10 23:32:48+00:00
45,1480683963605733377,Exposure to second-hand nicotine from VAPING doubles risk of young adults developing a wheeze https://t.co/bciHWR0HpQ,usatodaysun21,2022-01-10 23:32:21+00:00
46,1480683932513234945,I don’t even know where my juul ended up after they discontinued mint pods but I miss her 🥺,theseachell,2022-01-10 23:32:13+00:00
