,TweetID,TweetContent,TweeterUsername,TweetDatetime
0,1270143366181859328,Got a new coil in my vape. Feels like heaven lol,MoonKittennx3,2020-06-08 23:59:11+00:00
1,1270143258266677249,i talk a lot of shit about juuling as if i'm not dependent on copious amounts of caffeine to get me through the day 😐🤚,fl0ralhan,2020-06-08 23:58:45+00:00
2,1270142875494420481,my 15 year old cousin hit the vape in my crib I immediately bugged up,Arieousj,2020-06-08 23:57:14+00:00
3,1270142734934949888,Feel bad making fun of people with signs I agree with but this guy made sure to break out the faux kente vans https://t.co/ASfKlKqko9,vape_nap,2020-06-08 23:56:40+00:00
4,1270141928600817664,Lost my vape juice. Bouta go up,LILTAVlS,2020-06-08 23:53:28+00:00
5,1270141866139361281,I hit my vape way too hard I feel light headed,cidthekid92,2020-06-08 23:53:13+00:00
6,1270141844328939520,"#vapingsaveslives #wevapewevote

Vaping Digest 8th June https://t.co/kkflqjJ4S2 via @vapersorguk",theChinesejimi,2020-06-08 23:53:08+00:00
7,1270141261412958214,I have the Vape mat plugged in and the mosquitoes are literally flying over and around it. 😐,toptieraj,2020-06-08 23:50:49+00:00
8,1270141091598274560,not ac related but anyone vape before and quit 😩 seriously tryna quit but i can’t 😭,lilacornisle,2020-06-08 23:50:08+00:00
9,1270140838262251520,"Oohh I can't wait to open this! 100 watt single battery device that takes either a 21700 or 18650 battery.

#vape #vaping #geekvape #aegis #aegismax https://t.co/SNnvasAFId https://t.co/WEGqsN7Zw0",vapepassion,2020-06-08 23:49:08+00:00
10,1270140183648722944,"Here is the build you have see on the live
Wotofo Cog Mtl Rta
Build with inowire 24g
For 0.64 ohm build
wotofo_build
wotofoofficial
ino_factory
inowire_officiel

#diy #eliquide #instavape #vapestagram #vape #vapes… https://t.co/w88VwhOVSk",Nvape1,2020-06-08 23:46:32+00:00
11,1270138644209205265,"Me: why do I feel like shit?
Also me: *went to sleep at 4am &amp; has only eaten four apple slices with a black coffee and has been vaping all day*",collard_greens,2020-06-08 23:40:25+00:00
12,1270138177643257857,"Tried to smoke a cigarette that I found in one of the cabinets in the apartment and I wasn't able to finish it, I definitely more of a e-cig and vaping person.",Mockisho,2020-06-08 23:38:34+00:00
13,1270138089466404865,"WHY TF DOES THIS EXIST AND WHY DOES IT HAVE SO MANY VIEWS 

also don't mind the vape thing https://t.co/bTYR4vjcVd",Deathdancequeen,2020-06-08 23:38:13+00:00
14,1270137630966140929,NOT A 10 YEAR OLD GIRL HIDING HER VAPE IN A BTS PLUSH LFMSKSO,roiminaj,2020-06-08 23:36:23+00:00
15,1270137475944648706,"New: Tea ft. Unappreciated Robot, Foment Life, KittyBit, &amp; Hex   https://t.co/15vTUNtNCC #vapeon #vapefam #Ecig #VapeCommunity #VapingTrain",Vaping_Train,2020-06-08 23:35:46+00:00
16,1270136970291937288,purgatory is you and the only employee in a strip mall vape shop,tteeeeeeeeth,2020-06-08 23:33:46+00:00
17,1270136922510409728,"so, im tired of the b&amp;w layout
help me here",canyon_juuls,2020-06-08 23:33:34+00:00
18,1270136654527975427,"With a deep sense of grief in my heart I must report that the survivor juul passed away today, may you Rest In Peace",Stonks420,2020-06-08 23:32:31+00:00
19,1270136589616742400,"yea, i vape",nanako_jpeg,2020-06-08 23:32:15+00:00
20,1270136333176987648,imessage games?,omg_juuls,2020-06-08 23:31:14+00:00
21,1270136102440009728,"Decanted a bottle of Lahmian Medium into a used bottle of vape juice 👍🏻👍🏻👍🏻 now I never have to use a seperate paint brush to get medium onto my palette lol.

Also, started my commissar, Khorne Red on his robes based 👍🏻 https://t.co/a4BZikwK5Y",sammer40k,2020-06-08 23:30:19+00:00
22,1270136045212966912,"Vape Pen w/ Cartridge 
https://t.co/CnvVBeV8DY https://t.co/o8nYmSFmXN",SupportOrenda,2020-06-08 23:30:05+00:00
23,1270135691033313285,This is exactly what Florida does not need . @GovRonDeSantis a rogue AG  that shoots for the headlines rather than cite no science or Florida DOH statistics. The over 1 million Floridian Vapors who use vape flavors deserve better!  Veto SB810 ! https://t.co/oV1FmjDaDm,dnmarlin,2020-06-08 23:28:41+00:00
24,1270135599937323009,my mom blames everything on me hittin puff bars n shit. I hit my head n she goes “that’s what you get for smokin that damn juul all the time” .....😂,sydwoodd,2020-06-08 23:28:19+00:00
25,1270135554517143553,published on https://t.co/Wr3fLGZY2B #cbd #cannabis #thc #cannabiscommunity #weed #hemp #cbdoil #marijuana #cannabisculture #weedporn #indica #sativa #weedstagram #kush #medicalmarijuana #stoner #hightimes #dabs #ganja #life #highlife #vape #cbdlife #maryjane #dank ... https://t.co/HnMjaU3bXe,bestmarijuanab2,2020-06-08 23:28:08+00:00
26,1270135059396386817,He's recording a party who left his juul at home,ClayBorrellBot,2020-06-08 23:26:10+00:00
27,1270134840034131968,"There are better things to do than vape or smoke. Inhaling either—whether weed or nicotine—can damage lungs, possibly leading to a more severe case of COVID-19. Be smart and protect yourself. Learn more at https://t.co/uvNxCeRl8K https://t.co/jJD5XMh3uO",VibeSolano,2020-06-08 23:25:18+00:00
28,1270134535695609863,So I was thinking. The guy at the vape shop has seen me at my best and worst . Like I’ll come in with my hair and makeup done nice clothes then the next time I’m not even recognizable as a human being. I need to know his name now. It’s a mission,JayMarie214,2020-06-08 23:24:05+00:00
29,1270134525465591808,Handy Tips for Visiting Vape Stores For The First Time https://t.co/yHCxjaqAOo via @FairytaleTVLR https://t.co/njjc08LnHC,tekkaus,2020-06-08 23:24:03+00:00
30,1270134372306489350,"The following business items requiring board action were approved:  additional appropriations for the Child Nutrition Fund, workers’ compensation insurance for the FY 21, and agreement with the Frantz Law Group regarding the Juul Litigation.",ShawneeTeachers,2020-06-08 23:23:26+00:00
31,1270133891827982337,Thank god i got a back up vape kit. My main one quit on me.,rich_buno,2020-06-08 23:21:32+00:00
32,1270133661577482250,"Vaping-Related Lung Illness Likely Caused by Chemical Exposure, Says CDC https://t.co/dGzwViAq26 #smallbusiness #business https://t.co/iIgxYRE5yG",zaomedia,2020-06-08 23:20:37+00:00
33,1270133250959142912,i need to start smoking cigarettes to quit my vaping addiction,prettyboyyaidan,2020-06-08 23:18:59+00:00
34,1270132693473341441,Catch @RegWatchCanada LIVE NOW with esteemed special guest @pbusardo if you vape you NEED to watch Regulator Watch for all the latest goings on with Tobacco Harm Reduction https://t.co/iHKVDwhwLI,NobodyVapes,2020-06-08 23:16:46+00:00
35,1270132335074144257,New: Honeyed Peach | LIVE MIXING Visit the #1 site for recipe  https://t.co/NmeTwbhXdn #vapeon #vapefam #Ecig #VapeCommunity #VapingTrain,Vaping_Train,2020-06-08 23:15:21+00:00
36,1270132263532060675,if y’all want to sync all 655 episodes of my shed juul. 😂 https://t.co/VGkH8bmYXQ,AiPosting,2020-06-08 23:15:04+00:00
37,1270132215234658305,"Think imma throw away this juul, it’s starting to auto-fire. I’ll just stick to my Nord and my aegis mod",morphromus,2020-06-08 23:14:52+00:00
38,1270132063715328001,Vaping may end world hunger!,QBot_X,2020-06-08 23:14:16+00:00
39,1270131794327846913,Juul and tea for dinner. What a time to be alive.,jordanmill3r_,2020-06-08 23:13:12+00:00
40,1270131243087212545,New: How to Calculate &amp; Measure Your DIY Mixes with a Scale   https://t.co/RUrvTfmg0r #vapeon #vapefam #Ecig #VapeCommunity #VapingTrain,Vaping_Train,2020-06-08 23:11:00+00:00
41,1270131121330806784,"#AskFDA Where is the streamlined ""forthcoming""  PMTA process that was promised to the Vape industry last year by @SecAzar ?

99% of the industry will die on Sept. 9th forcing adults seeking THR back to tobacco and the black market.

@realDonaldTrump PMTA REFORM NOW!!! .@parscale",dnmarlin,2020-06-08 23:10:31+00:00
42,1270131089978294286,"New: The water is fine, come on in Check out my ELR.   https://t.co/DjWc50Req8 #vapeon #vapefam #Ecig #VapeCommunity #VapingTrain",Vaping_Train,2020-06-08 23:10:24+00:00
43,1270130963394125825,Hi-Drip Salts Iced Nectarine Lychee 30ml Nic Salt Vape Juice https://t.co/NotRc3XTrL,EightVape,2020-06-08 23:09:54+00:00
44,1270129982736605184,“I am a mother. This is scary stuff. Please talk to your kids about the COVID-19 pandemic and how vaping may put them at increased risk of suffering the more harmful effects of the novel coronavirus. https://t.co/ln6dTQSYc2,mysuncoast,2020-06-08 23:06:00+00:00
45,1270129766792867841,"Have you submitted your vaping testimony to @CASAAmedia ? If not do so here: https://t.co/KUJ2jXgEex
Here's Lesllie S.'s own story. 
#CASAA #TobaccoHarmReduction #SayYesToTHR #thr101 #thr #vapingsaveslives #wevapewevote #harmreduction #ecigs #ecigarettes #vapefamily #vaping #vape https://t.co/wb5HDTeF0U",thr101org,2020-06-08 23:05:08+00:00
46,1270129678859173889,"Inhaling smoke or vapor of any kind—cannabis or nicotine—can damage lungs, possibly leading to a more severe case of COVID-19. Living smoke &amp; vape free is the best thing we can do to give our lungs a chance. Get the facts you need to protect your family at https://t.co/NZo52BIGR9 https://t.co/8w8d5syyIt",VibeSolano,2020-06-08 23:04:47+00:00
47,1270129055447252992,I have stopped 2 different places that are out of juul pods :)))))))) I’m going to lose it,summerdownsss,2020-06-08 23:02:19+00:00
48,1270128977932357638,"A1 or SS 
Which do you prefer and why?

https://t.co/mTvmytxoiL 

#wotofo #subohmvaping #cloudchaser #vapers https://t.co/yqdvq62YTk",wotofoofficial,2020-06-08 23:02:00+00:00
49,1270128692946022400,Vaping kills so why do it because instead of dying you can play Minecraft,Dont_Vape_Bot,2020-06-08 23:00:52+00:00
50,1270128522015670274,I know too many of these vaping related incidents are THC related?,lab_ebooks,2020-06-08 23:00:12+00:00
51,1270128497340669959,"Vape Pen w/ Cartridge 
https://t.co/CnvVBeV8DY https://t.co/iRM4AJCqYD",SupportOrenda,2020-06-08 23:00:06+00:00
52,1270127985077575680,"Candy King is back!!
.
.
.
.
.
.
#vape #vape💨 #vapetricks #vapenation #vapehard #vicsviciousvapes #viciousfam #vapestyle #vapestyles #hardcorevaping #subohm #subohmlife #calivapes #calivapors #girlswhovape 
Warning this product contains nicotine nicotine is a addictive chemical https://t.co/hFFSmmPv3J",VVVapes,2020-06-08 22:58:04+00:00
53,1270127672098611200,oh my gut,vape_metalgeek,2020-06-08 22:56:49+00:00
54,1270127642390532105,Vaping Digest 8th June https://t.co/8CnVDUi5ES via @vapersorguk,Alan_Beard1,2020-06-08 22:56:42+00:00
55,1270127641824071681,"Sister found my juul 
Its been missing for two years",SisterDonn,2020-06-08 22:56:42+00:00
56,1270127597976944643,I'm not coughing because of COVID i'm coughing because i chain vape black market THC carts,shrimp_dukakis,2020-06-08 22:56:31+00:00
57,1270127409765904384,MIND-BENDING HYPOCRISY | Unpacking the ‘Maniacal’ War on Vaping | RegWat... https://t.co/P3n0KUqQ3M via @YouTube,LThorolf,2020-06-08 22:55:46+00:00
58,1270127314135732224,"They're careful to add this, ""The new rules do not impact an adult's individual choice...""
MesaZona &gt; Table of Contents : Here's The Menu. Enjoy: New City of Mesa Vaping Ordinance https://t.co/OCi1ku7cBZ",newurbanDTMesa,2020-06-08 22:55:24+00:00
59,1270127227372478464,"V-Juice Eliquid High 50/50 VG/PG 
Massive savings

https://t.co/BoD0SGGD11

#vape #vapepen #vapeshop #vapestore #ecig #ejuice #vaping #vapelife #vapejuice #jbrt18vape #atsocailmedia https://t.co/byBFVD8xbZ",sedgepaul,2020-06-08 22:55:03+00:00
60,1270127220976041984,"The Valens Company and BRNT Launch Premium Vape Line ""Made By"" and Expand Custom Manufacturing Agreement - PRNewswire https://t.co/67CKgPiI5A",OILRagz,2020-06-08 22:55:01+00:00
61,1270126091173343232,I’ma buy myself a vape pen though.,1morecomma,2020-06-08 22:50:32+00:00
62,1270126059833434113,J Wayne Reitz in heaven at me every time i walk in the J Wayne Reitz student center to get subway and vape in the bathroom https://t.co/HboBpTaCzf,tedcruzcontrol,2020-06-08 22:50:25+00:00
63,1270126053730762754,i know majority of the students who vape IN CLASS will not be following this lol ew https://t.co/PyBmS6DV5F,yonattywap,2020-06-08 22:50:23+00:00
64,1270125711379116038,As pod mods go our reviewer Will aka @WillJameson1842 really likes the Smoant Knight 80 - find out why: https://t.co/qx4F40dzQq #vapereview #podkit #podmod #vape #vaping #vapers #ecigclick @Smoant https://t.co/f0CobtVYps,EcigClick,2020-06-08 22:49:02+00:00
