,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
0,1527438777676881935,I just bought the nastiest vape ever I’m bout to throw it away and go try again 😑,Yawna218,2022-05-19 23:59:17+00:00,,,
1,1527438608977780743,🤦🏾‍♀️what did i say..fucking Vaping,SierraDeleiyone,2022-05-19 23:58:37+00:00,,,
2,1527438584248438784,cause of that vape,Wasabi_llama,2022-05-19 23:58:31+00:00,,,
3,1527438445458644999,Vapes are looking crazy these days https://t.co/r9aN3OuNQc,fuckinalpamare,2022-05-19 23:57:58+00:00,,,
4,1527438420246683651,Just got liked by a person on tinder who had a picture of a vape in a hotdog bun. Very creative but I feel like someone would find it very quickly 😕,shestyslays,2022-05-19 23:57:52+00:00,,,
5,1527438408313884672,tryna hit the vape in my lil brothers high school bathroom to relive being 15 💔,bbysour,2022-05-19 23:57:49+00:00,,,
6,1527438256379375617,it’s cause of that damn vape,tinaallamm,2022-05-19 23:57:13+00:00,,,
7,1527438057778970625,no one will believe me but i did not anticipate tweeting about vaping the same day and time as doja cat I did not do this intentionally it's actually sort of wild,PAlNPAlNPAlN,2022-05-19 23:56:26+00:00,,,
8,1527437917790035980,I hate losing this damn vape,___ashleyxo,2022-05-19 23:55:52+00:00,,,
9,1527437797782585344,"With the way D*ja be throwing that vape on the dirty ass ground, no wonder she's having throat issues",mhysabri,2022-05-19 23:55:24+00:00,,,
10,1527437780024184833,Vape users look at doja cat tweets rn,RichterDemi,2022-05-19 23:55:19+00:00,,,
11,1527437779587719172,Vape quit team yuh,femalejok3r,2022-05-19 23:55:19+00:00,,,
12,1527437623211479040,Laying a Vape Down Is Dangerous 🤣🤦🏽‍♀️,FawkkU_Meannn,2022-05-19 23:54:42+00:00,,,
13,1527437566206697476,Vaping is so bad. Addiction and recovery is a stressful and horrendous road; goodluck to her,artofadanna,2022-05-19 23:54:28+00:00,,,
14,1527437541472735232,I remember that one time my teacher asked what our hobbies were and one kid said vaping💀💀,ana419467,2022-05-19 23:54:22+00:00,,,
15,1527437477581029376,Idk who needs to hear this hit vaping on your socials is just not as hot as you think it is,MrFatty13,2022-05-19 23:54:07+00:00,,,
16,1527437398883418125,smoking my vape like a cigarette,bonesdelrey,2022-05-19 23:53:48+00:00,,,
17,1527437323977342986,I ordered ouid to my parents house I feel like a baddie. But the vape needs to hurry up and charge so I can smoke my brains out while eating these fries,CoQetesh_Fetish,2022-05-19 23:53:31+00:00,,,
18,1527437286157303833,"Actually getting sick of people vaping indoors, I don't want to breathe in your dirty shit",interpretantion,2022-05-19 23:53:22+00:00,,,
19,1527437199616229401,little dog vape https://t.co/76hMsYNwrk,donniesdark0,2022-05-19 23:53:01+00:00,,,
20,1527437108838690816,where can a girl get a decent vape in los angeles,badgrlrairai,2022-05-19 23:52:39+00:00,,,
21,1527437061904646151,Students give the best PD. I was told I’d be a better AP if I wore different shoes and hid in the bathroom stall and popped out to bust kids vaping. Genius! #middleschool https://t.co/Vl24vcfoop,ginnyleegilbert,2022-05-19 23:52:28+00:00,,,
22,1527437001615626240,put that vape down babe IM CEUINR,fa1ryofbeomgyu,2022-05-19 23:52:14+00:00,,,
23,1527436777614721027,fr tho maybe those anti vaping ads were right😭,TerryIsSleepyy,2022-05-19 23:51:20+00:00,,,
24,1527436570244128768,Y’all keep smoking them vapes/pens/etc though 🥴,_jflowers,2022-05-19 23:50:31+00:00,,,
25,1527436519497252894,It's cuz she be on that damn vape!!!,sydneynoels,2022-05-19 23:50:19+00:00,,,
26,1527436465365344256,Hoping my vape lasts me through the weekend 🤞🏽,izpgmcc,2022-05-19 23:50:06+00:00,,,
27,1527436323220602901,shld i get a straberry banana or strawberry watermelon vape if i cant get pink lemonade,intrnetboys,2022-05-19 23:49:32+00:00,,,
28,1527436288818921495,Meant to give my dog a treat and handed him my juul by accident,YoungGrandpa__,2022-05-19 23:49:24+00:00,,,
29,1527436287048925187,oh wow it actually was the vape😭,TerryIsSleepyy,2022-05-19 23:49:23+00:00,,,
30,1527436267260198935,*puts vape down for good*,chelseaviann,2022-05-19 23:49:19+00:00,,,
