,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
0,1588682411076124672,Ikhal Vapes Love https://t.co/43u8fixayz,tabernahidalgor,2022-11-04 23:59:37+00:00,,,
1,1588681838960160768,Currently choking hit vape to hard send help,rares_bot,2022-11-04 23:57:21+00:00,,,
2,1588681684761088000,Elf bar vape giveaway https://t.co/Ja1OKoPEyx,nursedivade,2022-11-04 23:56:44+00:00,,,
3,1588681445044023298,My cousin has vape and he offered me some omg,avggrimeslover,2022-11-04 23:55:47+00:00,,,
4,1588680860655845376,vape day tomorrow who else cheered,zeeutw,2022-11-04 23:53:28+00:00,,,
5,1588680544891506688,I vape in the car. I vape at the bar. I vape before sex. I vape when sending that I made it home text. I vape while I eat. I vape while I sleep. I just love to vape. 😭,AllEyesOnV,2022-11-04 23:52:12+00:00,,,
6,1588680381196554242,feeling the poop rush to my butthole after the first hit of my vape,jeeves69j,2022-11-04 23:51:33+00:00,,,
7,1588680079038709760,"#edibles #cbdoil 
#cannabiscommunity Alibi THC-O Disposable Vape Pen Watermelon. Don’t answer any questions about your buzz; just give them your Alibi. Do you want to say you were vaping with a pretender or that you were vaping with https://t.co/lOv1rchKu1 #cbd #cannabis #hemp https://t.co/oEVFOvIcl8",CBDSmokeShop,2022-11-04 23:50:21+00:00,,,
8,1588680045325070337,I’ll never understand how ppl can wear a kara or a khanda necklace and use that same hand to pick up a bottle or a vape…  just don’t wear it at that point ☠️,thatsamaan,2022-11-04 23:50:13+00:00,,,
9,1588679966455398401,my new vapes suck :((,nurrahdeeznuts,2022-11-04 23:49:54+00:00,,,
10,1588679744261955584,"“I don’t think we'd be as good as we are at all if we vaped."" – Ryder mentality. #unvapegeneration  

Learn more: https://t.co/9KEOjyhzML https://t.co/II8PKOhBT7",AZDHS,2022-11-04 23:49:01+00:00,,,
11,1588679594298658816,Wake up vape up,trinavegatwt,2022-11-04 23:48:26+00:00,,,
12,1588679574875164673,I’m so annoyed I can’t find my damn vape pen and I’m that person that has to vape anytime they leave the house. 😭,AllEyesOnV,2022-11-04 23:48:21+00:00,,,
13,1588679549457686528,"them vapes be in yal hand all day, giving CRACK PIPE vibes😂",imjadawilliams,2022-11-04 23:48:15+00:00,,,
14,1588679530784653312,Lol my dad saw and took my vape on Wednesday and today my cousin got caught with cigarettes💀 im so stressed rn hands shaking from the stress lol if they will have a talk w me im going ti cut my arm off,kar11_11,2022-11-04 23:48:11+00:00,,,
15,1588679528582631424,Wym you “can’t eat breakfast without your vape.” 😐,Definitely_NoMo,2022-11-04 23:48:10+00:00,,,
16,1588679228400472065,smoke a vape*,Anayajenee_,2022-11-04 23:46:58+00:00,,,
17,1588679223199551488,fuck i finally got a new vape,_jossyy,2022-11-04 23:46:57+00:00,,,
18,1588679193583575040,"Twitter losing advertisers...well, there are always AR-15 and vaping ads. #TwitterLayoffs",EricJHensal,2022-11-04 23:46:50+00:00,,,
19,1588679040025522176,"“He elaborates how the realization changed everything for him. ""I said, 'if Santa Claus ain't real, ain't shit real'. You feel me. That's how I feel today."" Carti takes a pull from the vape pen. The blue tip lights up as he inhales and the conversation take a reflective turn.”",Xzsaiyan,2022-11-04 23:46:14+00:00,,,
20,1588678985676099585,can’t stop vaping for some reason. and i refuse to believe im addicted cause i hate on people who are 😐,adderallmade,2022-11-04 23:46:01+00:00,,,
21,1588678918596603904,I lost my vape yo 😭 sick afffff,jaidah_e,2022-11-04 23:45:45+00:00,,,
22,1588678837268754432,the vapes to cigarettes pipeline has officially hit me,ieatassnotfood,2022-11-04 23:45:25+00:00,,,
23,1588678698034941952,I’d give one of my kidneys for some fucking vape pods right now so I don’t binge,winonalovesu,2022-11-04 23:44:52+00:00,,,
24,1588678697946841089,Ooze Movez Wireless Speaker 510 Vape Battery. https://t.co/CiiBZZbwzX,LoveLoVesStore,2022-11-04 23:44:52+00:00,,,
25,1588678568670040065,giving my vape a gobby every two mins,BBYFACEKlLLA,2022-11-04 23:44:21+00:00,,,
26,1588678270673104897,"Anyways,, I've made it to 3 weeks with no vaping :')",rothadez,2022-11-04 23:43:10+00:00,,,
27,1588678160581038080,vape accessories bulk sale https://t.co/yz1kvXtFRa,GRin59403713,2022-11-04 23:42:44+00:00,,,
28,1588677975163404288,"hit 3s, not vapes. fuckin dumb ass boy",daviddaggler,2022-11-04 23:42:00+00:00,,,
29,1588677856187805696,Brazil nuts and already vaped weed will get you high. I think I….. how do those kids say it? I think I did a thing https://t.co/X6FLivZhrY,ddechelon,2022-11-04 23:41:31+00:00,,,
30,1588677789690908672,Hitting my vape at the polls,wierzandrew,2022-11-04 23:41:15+00:00,,,
31,1588677745772748801,Need one for MW2 hmu pc East prefer can work around pretty much any role,PDRvape,2022-11-04 23:41:05+00:00,,,
32,1588677326010986497,my vape died so i bought a new one and i hate it… but i don’t want to go back out and get another new one 🥲,ktprinsessa,2022-11-04 23:39:25+00:00,,,
33,1588677281920487424,i’m convinced the reason people like smoking/vaping so much isnt the nic but the fact they are taking regular breaks to go outside in fresh air and take slow deep breaths for 5 mins either in much needed solitude or as an opportunity to socialise,seitanspawn,2022-11-04 23:39:14+00:00,,,
34,1588677142291832832,I was standing in the beer aisle at ralphs and some mf at a party who left his juul at home,ClayBorrellBot,2022-11-04 23:38:41+00:00,,,
35,1588676990890303489,"The 'Dayton Chain Lady' walked by and asked me for a lighter. I said, ""Sorry, I vape. I dont have one on me."" She threw her arms up in the air and sarcastically said, ""OHH, OKAYY!""

So thats my night so far...",BLauMarley,2022-11-04 23:38:05+00:00,,,
36,1588676960682536960,*hits vape*,KurtKunkleQuote,2022-11-04 23:37:58+00:00,,,
37,1588676774719721472,I think I have a problem I’ve found toooo many vapes moving 🤣🤣🤣,chiefnesh,2022-11-04 23:37:13+00:00,,,
38,1588676475607478272,"Let's be honest, Taylor wrote Lavender Haze after she tasted Lana's vape #TSmidnighTS https://t.co/wOGlR6re0M",andreyekaa05,2022-11-04 23:36:02+00:00,,,
39,1588676359836295168,"OCHO EXTRACTS 1 GRAM DISPOSABLE #VAPE ONLY AT @JKDistroCali use my link and code and save 20% off at check out!!!! 
https://t.co/iwmYHtycw3
Code 1038 1038 1038 1038 https://t.co/xKIafhCsJu",HarperBlue9,2022-11-04 23:35:35+00:00,,,
40,1588676177660899328,"The rule is that if i work this long I smoke nicotine. Thankfully just hittin a vape this time, normal cigs disgusting",DevilxWithxHalo,2022-11-04 23:34:51+00:00,,,
41,1588676019958882304,"A Beginner’s Guide to Selecting the Best #Vape #Juice
https://t.co/0ZFLV2nXPY
#liveline #life #Trending #BREAKING #viral",5bestthing,2022-11-04 23:34:13+00:00,,,
42,1588675943547428864,literally just found a brand new vape inside the box at the bus stop😂😂,maarsbbars,2022-11-04 23:33:55+00:00,,,
43,1588675896839647232,"Need to stop hitting this stiizy like a vape, be way too fried before I do anything",khunsom45,2022-11-04 23:33:44+00:00,,,
44,1588675798562934787,"Discrete vape batteries are nice in theory, but I do not appreciate having to tear my life apart at least once a week to figure out which crevice it managed to slide into.",zomgitskiki,2022-11-04 23:33:21+00:00,,,
45,1588675707236155392,"Psilocybin is being studied at the worlds top universities, being legalized in more places everyday, healing ppl who were in the military of ptsd.  Moms are Microdosing, someone made a decaf acid, there’s DMT in vape pens, weed is stronger than ever. What a time to be alive https://t.co/vF4UwOeYXz",jackwhelan56,2022-11-04 23:32:59+00:00,,,
46,1588675580546924544,"#420friendly #weedlover #thc

#KahliBuds #420GrowLife

Cannabis vaporizers go by many names, such as vapes, vape pens, weed pens, vaporinos, etc., and have existed for centuries. They surfaced many years ago, but many people are yet to know the full usag… https://t.co/CHgr3LfDbI",420growlife,2022-11-04 23:32:29+00:00,,,
47,1588675554777391104,She vaping in my room that shit lit up like a glow lamp,lulace0,2022-11-04 23:32:23+00:00,,,
48,1588675528608792577,"Imagine thinking this a dunk? She had weed vape cartridges, not heroin. Even if your political opponents advocate for her, seems weird to talk shit about her instead of showing a little bit of empathy",whointhehellam1,2022-11-04 23:32:16+00:00,,,
49,1588675334618382336,"Hey Grow Ops,

Would you guys mind toning down all the fruity flavor infused pre-rolls and vapes? The candy and soda is already enough for right wing soccer moms to claim it's appealing to children. Flavored nicotine vapes are already banned in places because of it",StevoZeMole,2022-11-04 23:31:30+00:00,,,
50,1588675224949919745,"give me 4 mg of suboxone, a vape, and a bang and i will feel like i’m on top of the world baby",ashrafibrahim_,2022-11-04 23:31:04+00:00,,,
51,1588675065561882625,"#420domme #420friently

#KahliBuds #420GrowLife

Cannabis vaporizers go by many names, such as vapes, vape pens, weed pens, vaporinos, etc., and have existed for centuries. They surfaced many years ago, but many people are yet to know the full usage of vaporizers. Because ma…",420growlife,2022-11-04 23:30:26+00:00,,,
52,1588674900101062657,"don’t get the vape on the sausage, bro",McWanks,2022-11-04 23:29:46+00:00,,,
53,1588674893830590466,"May I be honest? After this there will be no more tweets tonight 😂

These vapes have done so much for my pain,anxiety and insomnia. Luckily, I have doctors who get that I prefer an edible or a vape opposed to Oxy or Percs.
I judge neither way, but I wish Texas would chill😐",nyladavis1990,2022-11-04 23:29:45+00:00,,,
54,1588674708962439171,My down bad moment is right now I’m cart high clutching a vape on the toilet while I’m constipated and also ate once today and on anti anxiety meds. Oh wait that sounds like someone,owmytit,2022-11-04 23:29:01+00:00,-74.237314,40.788029,"Montclair, NJ"
55,1588674602846556163,She vaping in my room… that shit lit up like a glow lamp,imaniaray,2022-11-04 23:28:36+00:00,,,
56,1588674437162758144,"New @ecigclick Vape Awards Giveaway Now Live! -  Enter now for a chance to win prizes from - @zeusjuiceuk - @innokintech - VOOPOO - @vapeclub - @uk_vapour - https://t.co/QhNjazXZtw

#ecigclick #vapeawards #vapegiveaway #vapefam #eliquid #vapelyfe #giveaway",rafi2raf55,2022-11-04 23:27:56+00:00,,,
57,1588674418527842305,im almost at 2 weeks smoke free and its the first time im going cold turkey (i usually vaped to help with withdrawals). but im struggling. i am tired and anxiety ridden. idk what else i can do to help. :/,trnsltionLOST,2022-11-04 23:27:52+00:00,,,
58,1588674343005224960,Elf bar vape giveaway https://t.co/BMQUUxWUwZ,robertmauriell1,2022-11-04 23:27:34+00:00,,,
59,1588674064297885706,both my vapes died before going out tonight… cool,jax_x3,2022-11-04 23:26:27+00:00,,,
60,1588673946500894720,forgot that if u diffuse a fruit and peppermint oil together it WILL smell like a disposable vape,b33k33per,2022-11-04 23:25:59+00:00,,,
61,1588673872995692544,Niggas be fucked up in the crib smoking juul pods,_gunmetalsoul,2022-11-04 23:25:42+00:00,,,
62,1588673870130982912,phantom hitting my vape in the car,eqgtarts,2022-11-04 23:25:41+00:00,,,
63,1588673828175372288,"Gonna go ahead and put this tweet out there
i dont smoke or vape but i do drink alcohol.

whether you smoke/vape or drink doesnt mean you are a druggie or abuse it. 
Sure smoking and drinking are bad for you but you can do these things responsibly and not wanna do meth next lmao",KotasanVRCHAT,2022-11-04 23:25:31+00:00,,,
64,1588673773817196545,All male workers r at the designated smoking spot so ima vape in the bathroom,m4riguana,2022-11-04 23:25:18+00:00,,,
65,1588673596133879809,i wish i had a little elf in my pocket that would put my vape &amp; phone to charge when i fall asleep,highimcaro,2022-11-04 23:24:36+00:00,,,
66,1588673589313966080,Are you excited? The year of VAPES begins now.,02100_eth,2022-11-04 23:24:34+00:00,,,
67,1588673354831400961,I know people walk into the mall seeing me in all black and vaping outside expect me to be listening to Midwest emo when I am in fact listening to Strut from the Cheetah Girl 2 album.,darthfae,2022-11-04 23:23:38+00:00,,,
68,1588673344706351104,i used to vape do to those tricks but now i’m like fuck them tricks i just want that nicotine kick,mo0oo00o,2022-11-04 23:23:36+00:00,,,
69,1588673226192089088,"Youd be a lot better off not taking any ones words too seriously in life

Ppl shit on cigars but literaly vape blueberry vegetable oil in a fuzzy rainbow usb stick

Ppl shit on AMG but drive a Scion

Ppl shit on MMA fighters but the only sport theyve done is ballet in 3rd grade",rawknuckle,2022-11-04 23:23:07+00:00,,,
70,1588673158798020608,"yesterday i had to sit outside a restaurant to smoke my marajuana vape so i wouldn’t have a Meltdown, never in my life have i felt more like a cigarette mom",NEWBJORKER,2022-11-04 23:22:51+00:00,,,
71,1588673045446938624,green bean flavored vape,notnatali3,2022-11-04 23:22:24+00:00,,,
72,1588672953218371584,some ppl r a lil tewww comfortable vaping inside public places,yttxb,2022-11-04 23:22:02+00:00,,,
73,1588672942434664455,Keeping kids safe from the dangers of #vaping is a concern for parents. Talk with your children early on and frequently about underage use of substances. https://t.co/UKM1lKQWOq #TalkTheyHearYou,HealingCayuga,2022-11-04 23:22:00+00:00,,,
74,1588672933953564672,when I was at the hospital last year they forgot I was in the waiting room and the receptionist was outside vaping on her phone,Lowblockify,2022-11-04 23:21:58+00:00,,,
75,1588672921710755840,"Fuck, I caved a bought a vape FML maybe next week I’ll quit again",Taylornaterr,2022-11-04 23:21:55+00:00,,,
76,1588672825657024515,My mom and I both have our CBD/THC vape pens going today!,saylahachey,2022-11-04 23:21:32+00:00,-122.7900653,45.421863,"Portland, OR"
77,1588672611470708736,"vape ran out of juice, goodbye world https://t.co/naQJW5GgVK",kushobi,2022-11-04 23:20:41+00:00,,,
78,1588672513445339138,hi vape dude 900,fkhs_ebooks,2022-11-04 23:20:17+00:00,,,
79,1588672512115998723,Dere Lay said my flipping vape needs a leash 🤣🤣🤣child big mad when she wakes up 🙄,LishaSxo,2022-11-04 23:20:17+00:00,,,
80,1588672454519816192,when my vape dies so i just kms,carollhawaa,2022-11-04 23:20:03+00:00,,,
81,1588672439101243392,"If your finding the right 510 cartridge for synthetic cannabis concentrates on the @altproexpo  Tampa 2022, check it at our booth#213.
ELEV Nano1 sets a standard for how large volume, synthetic cannabis oil, and consistent vaping experience should feel.
#vaping #cannabisindustry https://t.co/en9S9KwOh6",CiliconOfficial,2022-11-04 23:20:00+00:00,,,
82,1588672272466087936,"Vaping for 4 months has turned me more evil than usual....my axe, ice cream scope and garden have taken on new meanings...be thankful i cant drive for another 4 weeks at least 😁😏😏😏",FennsterEFC,2022-11-04 23:19:20+00:00,,,
83,1588672223258165248,Where the vape at,danupsher,2022-11-04 23:19:08+00:00,,,
84,1588672178782101506,Officially 2 months no vape🎊🎉🥳,Chindo_0,2022-11-04 23:18:58+00:00,,,
