,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
0,1520553226491281408,everyone vapes 😕,tammymontero,2022-04-30 23:58:34+00:00,,,
1,1520553029140893699,when batman (me) has to fight vengeance (the waitress at chilis) for oppressing the city of gotham (not letting me vape at dinner),wack_demarco,2022-04-30 23:57:47+00:00,,,
2,1520553010027450369,Real talk every classroom had a Juul in 2018,wxlfgangv,2022-04-30 23:57:42+00:00,,,
3,1520552699032338432,anti vaping commercials are so funny. “which drug is so addictive that you would choose it over people who depend on you.” literally every drug ever,_br0oklyn_baby_,2022-04-30 23:56:28+00:00,,,
4,1520552675741474824,I rarely have a hour of disposable in the evening. Most of the free time i get is usually at night. Hence.. the poker phase. I need to limit that too. Trying to build my own Disposable Vape brand and make it big in texas. That is my current project,DFSAres,2022-04-30 23:56:23+00:00,,,
5,1520552640979083267,i mis my vape https://t.co/4adFYk6Qvm,jermaomad,2022-04-30 23:56:14+00:00,,,
6,1520552281371983884,"The universe keeps giving me signs to quit vaping, but yet there are still starving children in Guadalajara. Get your priorities straight universe.",_jyc916,2022-04-30 23:54:49+00:00,,,
7,1520552192817700866,everytime i get sad that my shop is failing i remember that the man at the vape store said someday it will be successful. his opinion is all i need,calmdownurcrazy,2022-04-30 23:54:27+00:00,,,
8,1520552073963528192,Turn vitamins into a vape and then maybe I’ll take them,TrapLordofLA,2022-04-30 23:53:59+00:00,-118.0724243,33.928201,"Whittier, CA"
9,1520551477571469319,"Lets start some Vape Porn on saturdays eve... [by Ancient-Pirate9137]
  
 #vapefam #vapor https://t.co/z2lNtp0ohb",VapesHeaven,2022-04-30 23:51:37+00:00,,,
10,1520550887768444928,Someone is smoking their vape in the airport and I wish I brought my “vape” with me,lsabanosh,2022-04-30 23:49:16+00:00,-73.78460884094238,40.645121918369526,John F. Kennedy International Airport (JFK)
11,1520550681404399616,"vaping in my high school bathroom before my sons percussion concert, i’ve come full circle",poursoupinmylap,2022-04-30 23:48:27+00:00,,,
12,1520549811740717061,"Vape shops close as Hong Kong ban on sale of e-cigarettes takes effect

https://t.co/hDwaID9qBP",ANCALERTS,2022-04-30 23:45:00+00:00,,,
13,1520549729914007554,Johnny Depp should give this man an acting part in his next movie this guy is hilarious!  Witness Vapes &amp; Starts Driving During Testimony https://t.co/VHTU2e1uOQ via @YouTube,LadyDeSade,2022-04-30 23:44:40+00:00,,,
14,1520549445967892480,Vaping in my mom’s bathroom like a lil high school kid 🤭,betelgeuse0_,2022-04-30 23:43:33+00:00,,,
15,1520549278162120704,hour 36 of vaping Fiji water: i just picked up the sun,dabjoke,2022-04-30 23:42:53+00:00,,,
16,1520549186072100867,nicotine withdrawals are fucking terrible holy fuck how do people quit vaping not even 24 hours yet and i have a terrible headache,waterudoinglays,2022-04-30 23:42:31+00:00,,,
17,1520548965309157376,alyssa gave me custody of the vape,D0657575864,2022-04-30 23:41:38+00:00,,,
18,1520548795964043264,I find it funny watching older people vape,CourtShizzzle,2022-04-30 23:40:58+00:00,,,
19,1520548632302391297,After vaping for 2 years in college my lungs squeaked when I exhaled,meg_fff,2022-04-30 23:40:19+00:00,,,
20,1520548570184695808,"I definitely think vaping is like a fuckin epidemic, but the anti vape commercials kill me 💀💀",adwee00,2022-04-30 23:40:04+00:00,,,
21,1520548566795644928,Juul Labs is growing! 💪  Hiring a Brand Manager (remote) https://t.co/62j8Jh3D1E,AllExecJobs,2022-04-30 23:40:03+00:00,,,
22,1520548296934187008,What’s a juul?,PattyMrice,2022-04-30 23:38:59+00:00,,,
23,1520547889893814278,Got a wax and just left the vape shop . ready to conquer miami now,lolaforshort,2022-04-30 23:37:22+00:00,,,
24,1520547855076835335,"Guys always keep two pods for your vape, Im literally fucking dying since mine has gone out very unexpectedly tonight. Ab kal shaam tak wait kon kre..",skrillmus,2022-04-30 23:37:13+00:00,,,
