,TweetID,TweetContent,TweeterUsername,TweetDatetime
0,1184982336523386880,"Bursting with refreshing, mouth-watering flavor Watermelon ejuice! Enjoy the crisp taste of watermelon vape juice and the refreshing sensation of ripe watermelons all year round.
 🍉🍉🍉 https://t.co/V9nPMHe6Te",CentralVapors,2019-10-17 23:59:39+00:00
1,1184982309151244288,"Every state but Alaska has reported vape lung victims, now numbering 1,479 nationwide https://t.co/UNz9kpUTCD https://t.co/h41i3FRVrK",FaraRives,2019-10-17 23:59:33+00:00
2,1184982201630416896,This is same old mess. Talk about cigarettes in headline and bury THC in the story.  I dont understand why it takes CDC and FDA so long to investigate and do testing!  I guess maybe waiting for check to clear could delay it. @skstatzer @South_Vape_Ad @vape https://t.co/wfFaZDr2Ts,Yayahood1,2019-10-17 23:59:07+00:00
3,1184982119757561856,Ca Supervisor Kristin Gaspar Testimony on Youth Vaping https://t.co/3tRFW82hsi via @YouTube,ChrisDMoser1,2019-10-17 23:58:47+00:00
4,1184982104733552642,“my gram is 89 years old and she started smoking cigs at 12 years old and she’s alive.” overheard convo outside my window of a nice college boy trying to get a girl to hit his juul,_beefpatty_,2019-10-17 23:58:44+00:00
5,1184982063432077312,The Oregon ban of flavored vape products got appealed after 2 days lmao. I stocked up for NOTHING.,_Joe_knee,2019-10-17 23:58:34+00:00
6,1184982051407192066,I'm gonna force @MedResJourno to include this Jimmy Olsen image in her next teen vaping story. https://t.co/CDYdJA2caV,WriteShorter,2019-10-17 23:58:31+00:00
7,1184981997548179457,"If looking like a douche and now also getting lung cancer aren't enough to prevent you from vaping, nothing will.",OhioMaverick,2019-10-17 23:58:18+00:00
8,1184981968758419457,My teacher yelled at me for vaping :( 😂,jessysannn,2019-10-17 23:58:11+00:00
9,1184981923711639552,🚨 JOIN US NOW on FACEBOOK LIVE @ 5pm PST with Dr. Sophia Yen answering some of your college q's! Topics include #healthinsurance #birthcontrol #periods #acne #periodsoptional #smoking or #vaping and more! https://t.co/Z9VqE0ovAh,PandiaHealth,2019-10-17 23:58:01+00:00
10,1184981915209785344,When you gotta regulate vaping but you just smoked a blunt https://t.co/2fo6703L5u,_albert_colon_,2019-10-17 23:57:59+00:00
11,1184981893042884608,The anti vape crowd has no shame. None. https://t.co/gI7vebngJx,iowa_josh,2019-10-17 23:57:53+00:00
12,1184981876991320064,"Every state but Alaska has reported vape lung victims, now numbering 1,479 nationwide https://t.co/9OFn48bmGE",Paisano,2019-10-17 23:57:50+00:00
13,1184981850596528128,"G why does this girl got a juul charger in every one of my USB ports possible . Car port, laptop port , XBOX PORT , Cell phone charging port , Diabetes machine port . 🤬🤣💀",JiggyJaksin,2019-10-17 23:57:43+00:00
14,1184981780559998977,"Ok my dear #VapeFam, lets see what we got now.
This is not sorted, just part of that, what is around on twitter.

#VapeBan #Corruption #Vape #vaping https://t.co/vqPA1YiK7B",cult_cloud,2019-10-17 23:57:27+00:00
15,1184981719490760704,How mainstream media botched the vape lung story https://t.co/HIM197UzVF #weed #mmj #cannabis https://t.co/6TtBFyr5D5,greenrushreview,2019-10-17 23:57:12+00:00
16,1184981713019199493,imagine being so fucking hard headed that ur idiot bum ass still smokin the juul bitch u nasty !,kellllzy,2019-10-17 23:57:10+00:00
17,1184981547331530752,Court issues temporary stay on flavored vaping ban in Oregon https://t.co/2gS44WXra4,MiddleEastTon,2019-10-17 23:56:31+00:00
18,1184981520370540545,"“coach mikaela, why is there a juul pod in your car?” 😂 @21Lgross",mtobinnn_,2019-10-17 23:56:25+00:00
19,1184981514334932993,Juul Suspends Sales of Flavored Vapes And Signs Settlement To Stop Marketing To Youth https://t.co/G42WnluXBg,KansasAAP,2019-10-17 23:56:23+00:00
20,1184981506642579457,"The governors from several Northeastern states, including Tom Wolf, said they want to work together to regulate marijuana and vaping. https://t.co/mrvmOh88RQ",ReadingEagle,2019-10-17 23:56:21+00:00
21,1184981492478427136,"Every state but Alaska has reported vape lung victims, now numbering 1,479 nationwide https://t.co/ans92PKUOa https://t.co/WlssNtPjVY",Anasibnyousuf,2019-10-17 23:56:18+00:00
22,1184981482667945984,"Juul, Under Heavy Fire, Pulls Fruit-Flavored Pods From US https://t.co/pJcBV1Djwe",hmr1973,2019-10-17 23:56:16+00:00
23,1184981446756188161,"The vaping crisis sweeping the nation is a reminder of the dangers of a lack of national uniform cannabis regulation and decriminalization.

How the 'Vaping Crisis' is a Wakeup Call to Legalize Cannabis Nationwide – Citizen Truth https://t.co/DwARoPZlkW via @citizentruth_",CitizenTruth_,2019-10-17 23:56:07+00:00
24,1184981406784446464,Vape pa more! https://t.co/uDCs4qzKYU,SirDoyDoy,2019-10-17 23:55:57+00:00
25,1184981325108920322,"Vaping-related illnesses still rising, though at slower pace ⁦@CBS12⁩  https://t.co/YW5fk7qKPL",PefleyAlCBS12,2019-10-17 23:55:38+00:00
26,1184981299079122945,"me mom 10 mins into me being home:
“do u still vape”",ashlynhello,2019-10-17 23:55:32+00:00
27,1184981212932313089,"Juul has stopped selling all fruity flavors https://t.co/laUk2CqGxK via @nbcnews Manufactured flavors are a part of the Cause.Natural Flavors are not too much of the concern, as they are natural.",SamRand52808676,2019-10-17 23:55:11+00:00
28,1184981203935477762,Juul suspends online sales of certain flavored e-cigarette pods in the U.S. https://t.co/imJ2TY5Vae,PittsburghPG,2019-10-17 23:55:09+00:00
29,1184981154002358272,new sale on at tesco! trade in 7 gallons of Vape juice to get an dog signed by AJ!,mallowbot,2019-10-17 23:54:57+00:00
30,1184981068048404480,"This lady just said vaping doesn’t produce smoke these days... 

🧐",conquerwithin17,2019-10-17 23:54:37+00:00
31,1184981059710021632,Juul Suspends Sales of Flavored Vapes And Signs Settlement To Stop Marketing To Youth https://t.co/eynMeu8Vdm https://t.co/t84ol4hyll,Remotenews,2019-10-17 23:54:35+00:00
32,1184981056799174656,I'm not vaping until they have a fried chicken flavor,thajawn,2019-10-17 23:54:34+00:00
33,1184981055528325120,"The Department of Health officially recognized that Electronic Nicotine Delivery System gadgets, also known as e-cigarettes or vapes, cause diseases. https://t.co/sCqZmN0kgx https://t.co/SweFkGvopW",PhilippineStar,2019-10-17 23:54:34+00:00
34,1184981003867045888,"Got to say goodbye to my ijoy diamond dropped it into the dogs water bowl going back to the trusted wismec. Ain't that some bad luck
.
.
.
#vapeworld #vaping #vapelife #stopsmoking #diyejuice #eliquidrecipes… https://t.co/ruH8sDaE6d",champsta27,2019-10-17 23:54:21+00:00
35,1184980959902490625,"Every state but Alaska has reported vape lung victims, now numbering 1,479 nationwide https://t.co/aOFUwZoYJs https://t.co/gjuYACuwGx",JimBourke,2019-10-17 23:54:11+00:00
36,1184980918416629760,Oregon flavored vape ban overturned | That Oregon Life https://t.co/rVEcvyQShg,Crimson_Additic,2019-10-17 23:54:01+00:00
37,1184980846953947137,"THIS GUY THO' / 5 mnths ago 💩🏃

Watch ""HOW TO BUY JUUL/ VAPE  UNDERAGE!! (Online)"" on YouTube https://t.co/nYsIs6CXeR",AxtoxthexO,2019-10-17 23:53:44+00:00
